Date,MSCI Europe
2013-06,281371.65078119584
2013-07,302092.8434608017
2013-08,298238.50130391633
2013-09,319679.90584108373
2013-10,333375.3548267984
2013-11,337316.18240982207
2013-12,344865.338902864
2014-01,331537.640488334
2014-02,355749.1749555745
2014-03,352116.44088527845
2014-04,360899.8176824907
2014-05,364128.0492026493
2014-06,363753.4905725693
2014-07,350003.34633403335
2014-08,351472.2138884401
2014-09,338276.0033232558
2014-10,329357.61925642146
2014-11,338112.3214326925
2014-12,323557.44155454525
2015-01,323545.9601670859
2015-02,343859.5924395928
2015-03,334724.6774826337
2015-04,349256.4791950336
2015-05,346564.8150285015
2015-06,335916.7801343149
2015-07,346408.9220188779
2015-08,321741.4206918834
2015-09,306722.0927280699
2015-10,328684.54455239896
2015-11,322659.873993215
2015-12,314356.292261891
2016-01,293635.2726685283
2016-02,288374.8932634834
2016-03,306476.48334910336
2016-04,313963.5018808705
2016-05,312118.05635688076
2016-06,298234.2895386674
2016-07,310720.55803004774
2016-08,311637.39585977705
2016-09,314352.2535828852
2016-10,304114.0292169578
2016-11,297499.3076550276
2016-12,313090.8010431331
2017-01,319594.1704553322
2017-02,323411.7606332649
2017-03,336399.1714938496
2017-04,348276.9841453001
2017-05,365165.5281438231
2017-06,361177.21723477414
2017-07,371959.5670536106
2017-08,372175.9248574923
2017-09,384456.6822828922
2017-10,386264.45270129933
2017-11,387114.1330687037
2017-12,392950.83196787507
2018-01,414188.4563014931
2018-02,389843.01077750337
2018-03,385152.1428076896
2018-04,395809.7551406614
2018-05,382814.7861807943
2018-06,380249.2441900717
2018-07,392906.57958505454
2018-08,381932.50790427177
2018-09,383292.8503842514
2018-10,354041.21760402474
2018-11,350742.9438508227
2018-12,334543.28309985914
2019-01,356583.21986568504
2019-02,368559.80706653435
2019-03,370808.1973644734
2019-04,384066.3151092751
2019-05,363024.0474487088
2019-06,387409.82206734206
2019-07,379904.9756525351
2019-08,370349.57651565847
2019-09,380428.7346241721
2019-10,392640.02677067224
2019-11,398506.49650365784
2019-12,414073.0077773418
2020-01,403661.12021416536
2020-02,366215.2962082573
2020-03,313325.15981629776
2020-04,331908.7373935519
2020-05,347023.95513604576
2020-06,361135.56114560005
2020-07,375012.8660774041
2020-08,390442.2930465486
2020-09,377432.43866977445
2020-10,356146.5809697445
2020-11,416738.9397890655
2020-12,436356.0730193164
2021-01,430036.8096743671
2021-02,440550.24116683204
2021-03,454160.01246220944
2021-04,474798.469917611
2021-05,494589.03556345345
2021-06,487860.5386443885
2021-07,496879.3704276383
2021-08,504388.4286076942
2021-09,480288.0732039417
2021-10,501922.2958159285
2021-11,476035.171124599
2021-12,507473.1716323185
2022-01,484252.3251251989
2022-02,470576.72336202714
2022-03,470088.7355472987
2022-04,443053.12593755045
2022-05,446367.3813205326
2022-06,401965.04811797553
2022-07,421860.38863631117
2022-08,395579.3773510881
2022-09,361178.37114306155
2022-10,387064.51501234673
2022-11,430997.7268006739
2022-12,431051.55662227963
2023-01,468443.89697906806
2023-02,465538.81747478707
2023-03,476574.1616856293
2023-04,496367.9582746763
2023-05,467247.0633034086
2023-06,489624.4605478756
2023-07,504638.5959243959
2023-08,484619.44104682555
2023-09,465362.67337472015
2023-10,447984.9299577669
2023-11,492198.13759202417
2023-12,516786.0192471902
2024-01,516181.42900002305
2024-02,524216.95783619117
