Date,MSCI Emerging Markets IMI
2002-03,7125.401202370832
2002-04,7174.169514035902
2002-05,7023.319777422462
2002-06,6490.612512097884
2002-07,6025.912433682396
2002-08,6116.572984097904
2002-09,5454.25645397152
2002-10,5789.606297729248
2002-11,6176.927007660228
2002-12,5976.861543678369
2003-01,5982.042146559255
2003-02,5813.649004735542
2003-03,5624.4628068035445
2003-04,6099.006030692716
2003-05,6544.655619423493
2003-06,6933.7659921678705
2003-07,7348.167126248937
2003-08,7832.6476883914465
2003-09,7870.371896642264
2003-10,8504.901556771165
2003-11,8642.18753311465
2003-12,9229.244032298702
2004-01,9574.366376945376
2004-02,10044.058672682446
2004-03,10178.236287297397
2004-04,9385.250823598117
2004-05,9197.242035411777
2004-06,9221.237646028243
2004-07,9021.219278436212
2004-08,9404.160024113351
2004-09,9946.498501157394
2004-10,10202.420283473168
2004-11,11146.349676565544
2004-12,11723.021421792915
2005-01,11753.893105324009
2005-02,12782.336969959568
2005-03,11967.687166940219
2005-04,11641.827245732478
2005-05,12044.760408890856
2005-06,12471.265315157267
2005-07,13318.78839827533
2005-08,13404.221249420125
2005-09,14575.414271619009
2005-10,13631.743908670678
2005-11,14770.36977730472
2005-12,15705.79827203346
2006-01,17378.09688198351
2006-02,17371.362098238358
2006-03,17512.227400208638
2006-04,18784.88959428815
2006-05,16907.627495814308
2006-06,16737.39759478737
2006-07,16974.645658537043
2006-08,17425.687783902926
2006-09,17603.853426615584
2006-10,18434.89277329446
2006-11,19848.23188378495
2006-12,20744.217152034216
2007-01,20532.2127532314
2007-02,20498.326900751425
2007-03,21322.796301049544
2007-04,22375.989318538792
2007-05,23548.194913118936
2007-06,24668.099966797046
2007-07,26087.56160796494
2007-08,25440.622049116824
2007-09,28149.677036506768
2007-10,31167.590148377178
2007-11,28974.7115934828
2007-12,29085.293916794802
2008-01,25386.22571886752
2008-02,27272.341938628695
2008-03,25804.65359427873
2008-04,27836.06217665385
2008-05,28293.203284502226
2008-06,25412.36421522108
2008-07,24520.735363030748
2008-08,22591.361109214173
2008-09,18565.985574375794
2008-10,13430.453938553343
2008-11,12443.972957252961
2008-12,13486.051226743213
2009-01,12623.763425414625
2009-02,11940.277068061348
2009-03,13655.056621634667
2009-04,16017.670565462804
2009-05,18876.821747228965
2009-06,18650.87681703759
2009-07,20791.972891318015
2009-08,20760.583147498823
2009-09,22624.11664833832
2009-10,22668.198869215685
2009-11,23654.279531202537
2009-12,24663.555165178812
2010-01,23347.84687079812
2010-02,23431.348769960037
2010-03,25346.570558633823
2010-04,25698.12156049178
2010-05,23396.874212607232
2010-06,23292.81473928616
2010-07,25215.45420935758
2010-08,24804.30272617453
2010-09,27595.61155839599
2010-10,28445.58365378502
2010-11,27712.151575021016
2010-12,29650.05027539614
2011-01,28832.386303427906
2011-02,28465.15220375782
2011-03,30101.445623685715
2011-04,31089.10401473175
2011-05,30266.58911461142
2011-06,29789.620426646194
2011-07,29762.280972352066
2011-08,27034.76420015024
2011-09,23054.271524816264
2011-10,26016.893475030673
2011-11,24237.23864447171
2011-12,23944.252003362682
2012-01,26648.691544549652
2012-02,28335.96680646445
2012-03,27396.13479928696
2012-04,27053.979527199343
2012-05,24103.08457805167
2012-06,25019.67451684991
2012-07,25465.088623631556
2012-08,25466.85473825004
2012-09,27013.146957219993
2012-10,26825.891711270873
2012-11,27183.070731713062
2012-12,28512.93149123654
2013-01,28954.083374738908
2013-02,28675.037265018454
2013-03,28255.761654590366
2013-04,28522.42141378653
2013-05,27871.47866180318
2013-06,26025.300180614657
2013-07,26296.76377157309
2013-08,25803.240702583942
2013-09,27488.01985583795
2013-10,28786.655708906637
2013-11,28357.93727231839
2013-12,27981.378087462705
2014-01,26300.46083817445
2014-02,27206.571830236353
2014-03,28015.428777307072
2014-04,28120.85404593311
2014-05,29091.157417328173
2014-06,29844.18159425989
2014-07,30398.71803626893
2014-08,31101.678750815357
2014-09,28924.08297441959
2014-10,29156.762688356124
2014-11,28832.221466063518
2014-12,27582.801340363254
2015-01,27780.95940055715
2015-02,28613.388090735905
2015-03,28260.636130937382
2015-04,30492.534044802793
2015-05,29458.156035049135
2015-06,28630.177953708953
2015-07,26630.1120187632
2015-08,24208.792425016665
2015-09,23587.402657649276
2015-10,25231.419885508676
2015-11,24294.81398103428
2015-12,23845.5615184818
2016-01,22252.243554270346
2016-02,22211.999689163826
2016-03,25055.51486950768
2016-04,25228.994421432624
2016-05,24300.2300658643
2016-06,25242.675922677146
2016-07,26501.32694078335
2016-08,27145.511360826633
2016-09,27503.067152387433
2016-10,27506.081321336314
2016-11,26239.211983205427
2016-12,26300.978898462537
2017-01,27714.058978808975
2017-02,28642.56430423326
2017-03,29376.37315411587
2017-04,29983.539811755734
2017-05,30786.32132453887
2017-06,31106.48258257763
2017-07,32887.38546746699
2017-08,33621.71237763769
2017-09,33514.28551244404
2017-10,34691.624613515254
2017-11,34833.64377703627
2017-12,36106.84757959878
2018-01,38999.507842726314
2018-02,37231.50936864935
2018-03,36576.469230751114
2018-04,36436.99327228071
2018-05,35223.50769201787
2018-06,33681.00673242893
2018-07,34412.507859210054
2018-08,33516.640331935356
2018-09,33242.0919274433
2018-10,30282.060278669338
2018-11,31576.787131382443
2018-12,30796.211566402377
2019-01,33378.012108481824
2019-02,33495.11728178476
2019-03,33786.52619383461
2019-04,34433.98381297082
2019-05,32032.49179934112
2019-06,33972.62757823299
2019-07,33576.00533131133
2019-08,31944.939610654146
2019-09,32566.800341919785
2019-10,33929.51083334707
2019-11,33868.21488198822
2019-12,36368.79769981232
2020-01,34700.478734802586
2020-02,32807.5099903217
2020-03,27504.432947692396
2020-04,30152.144887333663
2020-05,30436.724822858705
2020-06,32739.33796604821
2020-07,35704.832796042014
2020-08,36571.31217606514
2020-09,35991.791099253285
2020-10,36646.07769491429
2020-11,40208.142494837055
2020-12,43198.97518255739
2021-01,44397.31927349109
2021-02,44979.783874667075
2021-03,44456.70782106197
2021-04,45742.08604039457
2021-05,46822.78334954234
2021-06,47038.367073971946
2021-07,44201.96344849186
2021-08,45294.97646357919
2021-09,43620.93528720556
2021-10,44016.68625091544
2021-11,42288.719708190765
2021-12,43226.00851031764
2022-01,42272.612742870195
2022-02,41040.1944138972
2022-03,40376.44144388112
2022-04,38166.13722475104
2022-05,38241.06758096458
2022-06,35539.05350385366
2022-07,35617.23351096522
2022-08,35874.21496205209
2022-09,31764.77237137387
2022-10,30909.949347832742
2022-11,35272.29955187785
2022-12,34813.83974511433
2023-01,37476.41059574578
2023-02,35225.15606566178
2023-03,36208.363847869245
2023-04,35891.14611419461
2023-05,35432.59211465145
2023-06,36845.719291387715
2023-07,39181.91216052334
2023-08,37039.26190537864
2023-09,36113.67655612359
2023-10,34665.8628882803
2023-11,37525.86180506333
2023-12,39035.23045440952
2024-01,37388.34034677072
2024-02,39063.86505942387
